epoch,accuracy,loss,val_accuracy,val_loss
0,0.1661017,4.158706658164506,0.2948382794857025,3.141970100296903
1,0.2914846,3.197459395096841,0.3640967011451721,2.801225180565162
2,0.34286296,2.898636743402588,0.39594903588294983,2.672886621636606
3,0.37700632,2.7141433434557474,0.4168572425842285,2.551610757929949
4,0.39799878,2.5936847926403326,0.43400847911834717,2.489777486334436
5,0.41784766,2.4930139847670327,0.4377654492855072,2.4468295979990518
6,0.4295283,2.4089866805568336,0.46128717064857483,2.3865485730337888
7,0.4425975,2.3435824067051714,0.4449526369571686,2.471868701247521
8,0.44896877,2.296773886568624,0.4673309326171875,2.3766869493887652
9,0.46130285,2.250049796006084,0.46635085344314575,2.3902763286006095
