epoch,accuracy,loss,val_accuracy,val_loss
0,0.13175413,4.377207476561572,0.21708591282367706,3.5626546978288443
1,0.23945272,3.459725925283138,0.2941848933696747,3.1019489240973495
2,0.29369003,3.1362402788395536,0.35021233558654785,2.8208719757949945
3,0.32807842,2.9473499753510732,0.38124796748161316,2.7061674159479
4,0.35172555,2.803946646199023,0.39382556080818176,2.6796512514966175
5,0.37079844,2.68726372649676,0.4003593623638153,2.675791124470364
6,0.3927711,2.59957300184794,0.43286508321762085,2.552664684338026
7,0.4056361,2.515844284029963,0.4351519048213959,2.551952750104115
8,0.4137227,2.4611262471232336,0.43792879581451416,2.514327640122193
9,0.42593426,2.4120870857110237,0.43564194440841675,2.5456382979835728
